HORA REAL,UMIDADE,TEMPERATURA,PESO (g)
16h48,53,23.4,0.00000
17h48,53,23.0,0.00024
18h48,53,23.0,0.00037
19h48,52,23.2,0.00046
20h48,51,23.2,0.00060
21h48,52,23.2,0.00067
22h48,51,23.2,0.00078
23h48,49,23.2,0.00090
0h48,49,23.2,0.00102
1h48,49,23.0,0.00111
2h48,49,23.0,0.00121
3h48,49,23.0,0.00130
4h48,49,23.0,0.00139
5h48,49,23.0,0.00147
6h48,49,23.0,0.00159
7h48,49,22.9,0.00167
8h48,49,22.9,0.00172
9h48,49,22.9,0.00182
10h48,48,22.9,0.00185
11h48,49,22.9,0.00190
12h48,48,22.9,0.00200
13h48,48,22.9,0.00213
14h48,48,22.9,0.00220
15h48,48,22.9,0.00233
16h48,48,23.0,0.00247