Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2,,,,,,,
0:00,0,0,0,0.0023,0.0026,0.002,0.003,,,Dentro,%,,,0.0025
0:15,0,-0.0001,0,0.0023,0.0026,0.002,0.003,,5%,0,0,,,0.0023
0:30,0.0001,0.0001,0.0002,0.0023,0.0026,0.002,0.003,,20%,0,0,,,0.0025
0:45,0.0001,0,0,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
1:00,0.0025,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
1:15,0.0023,0.0021,0.0028,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
1:30,0.0025,0.0024,0.0022,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
1:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
2:00,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
2:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
2:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
2:45,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
3:00,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
3:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
3:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
3:45,0.0024,0.0024,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
4:00,0.0029,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0028
4:15,0.0022,0.0025,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
4:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
4:45,0.0025,0.0028,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
5:00,0.0028,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
5:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0028
5:30,0.0022,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
5:45,0.0027,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
6:00,0.0023,0.0027,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
6:15,0.0028,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
6:30,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
6:45,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
7:00,0.0022,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
7:15,0.0029,0.0024,0.0022,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
7:30,0.0021,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
7:45,0.0029,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
8:00,0.0022,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
8:15,0.0026,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
8:30,0.0024,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
8:45,0.0025,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0028
9:00,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
9:15,0.0025,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
9:30,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
9:45,0.0028,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
10:00,0.0022,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0028
10:15,0.0026,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
10:30,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
10:45,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
11:00,0.0028,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
11:15,0.0022,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
11:30,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
11:45,0.0027,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
12:00,0.0022,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
12:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
12:30,0.0023,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
12:45,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
13:00,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
13:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
13:30,0.0024,0.0027,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
13:45,0.0023,0.0025,0.0022,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
14:00,0.0029,0.0021,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
14:15,0.0022,0.0025,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0028
14:30,0.0024,0.0028,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0026
14:45,0.0024,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.002
15:00,0.0024,0.0021,0.0029,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
15:15,0.0028,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
15:30,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
15:45,0.002,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
16:00,0.0025,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
16:15,0.0027,0.0028,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
16:30,0.0022,0.0021,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
16:45,0.0024,0.0027,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
17:00,0.0024,0.0021,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
17:15,0.0025,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
17:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
17:45,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
18:00,0.0027,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
18:15,0.0021,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
18:30,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
18:45,0.0023,0.0028,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0022
19:00,0.0023,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
19:15,0.0024,0.0025,0.0027,0.0023,0.0026,0.002,0.003,,,,,,,0.0025
19:30,0.0024,0.0024,0.002,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
19:45,0.0022,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
20:00,0.0024,0.0028,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
20:15,0.0025,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
20:30,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0013
20:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0034
21:00,0.0023,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
21:15,0.0027,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0027
21:30,0.0013,0.0021,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
21:45,0.0034,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
22:00,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,,0.0019
22:15,0.0027,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0029
22:30,0.0021,0.0024,0.0013,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
22:45,0.0023,0.0024,0.0034,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:00,0.0019,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:15,0.0029,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0021
23:30,0.0024,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0024
23:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,,0.0023
,0.0001804347826,0.0001134215501,0.0001183364839,,,,,,,,,,,0.0025
,0.002454347826,0.002411956522,0.002402173913,,,,,,,,,,,0.0024
,0.00245,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.002
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.002
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0028
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0022
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0029
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.0021
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,,0.002
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0013
,,,,,,,,,,,,,,0.0034
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,,0.0024
