Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2,,,,,
0:00,0,0,0,0.0023,0.0026,0.002,0.003,,Dentro,%,,0.0009
0:15,0.0002,-0.0001,0.0001,0.0023,0.0026,0.002,0.003,5%,167,0.6050724638,,0.0026
0:30,0.0001,0,0.0002,0.0023,0.0026,0.002,0.003,20%,271,0.981884058,,0.0025
0:45,0.0002,0.0002,0,0.0023,0.0026,0.002,0.003,,,,,0.0026
1:00,0.0009,0.0023,0.0028,0.0023,0.0026,0.002,0.003,,,,,0.0025
1:15,0.0026,0.0027,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0027
1:30,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0026
1:45,0.0026,0.0027,0.0029,0.0023,0.0026,0.002,0.003,,,,,0.0026
2:00,0.0025,0.0026,0.0027,0.0023,0.0026,0.002,0.003,,,,,0.0025
2:15,0.0027,0.0027,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0026
2:30,0.0026,0.0027,0.0027,0.0023,0.0026,0.002,0.003,,,,,0.0025
2:45,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0025
3:00,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0023
3:15,0.0026,0.0025,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0024
3:30,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
3:45,0.0025,0.0027,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0024
4:00,0.0023,0.0024,0.0019,0.0023,0.0026,0.002,0.003,,,,,0.0024
4:15,0.0024,0.0021,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0024
4:30,0.0024,0.0028,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0024
4:45,0.0024,0.0023,0.0019,0.0023,0.0026,0.002,0.003,,,,,0.0025
5:00,0.0024,0.0021,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0024
5:15,0.0024,0.0025,0.002,0.0023,0.0026,0.002,0.003,,,,,0.0024
5:30,0.0024,0.0029,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0025
5:45,0.0025,0.0027,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0025
6:00,0.0024,0.0024,0.0019,0.0023,0.0026,0.002,0.003,,,,,0.0022
6:15,0.0024,0.0021,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0025
6:30,0.0025,0.0027,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0023
6:45,0.0025,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,0.0023
7:00,0.0022,0.0024,0.002,0.0023,0.0026,0.002,0.003,,,,,0.0023
7:15,0.0025,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,0.0025
7:30,0.0023,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0025
7:45,0.0023,0.0022,0.0019,0.0023,0.0026,0.002,0.003,,,,,0.0024
8:00,0.0023,0.0024,0.0027,0.0023,0.0026,0.002,0.003,,,,,0.0023
8:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0023
8:30,0.0025,0.0026,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0023
8:45,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
9:00,0.0023,0.0021,0.002,0.0023,0.0026,0.002,0.003,,,,,0.0024
9:15,0.0023,0.0022,0.0034,0.0023,0.0026,0.002,0.003,,,,,0.0023
9:30,0.0023,0.0021,0.0018,0.0023,0.0026,0.002,0.003,,,,,0.0023
9:45,0.0023,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
10:00,0.0024,0.0022,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0021
10:15,0.0023,0.002,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0025
10:30,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
10:45,0.0023,0.0022,0.002,0.0023,0.0026,0.002,0.003,,,,,0.0024
11:00,0.0021,0.002,0.0028,0.0023,0.0026,0.002,0.003,,,,,0.0023
11:15,0.0025,0.0025,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0024
11:30,0.0023,0.0023,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0024
11:45,0.0024,0.0019,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
12:00,0.0023,0.0026,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0024
12:15,0.0024,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0023
12:30,0.0024,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0022
12:45,0.0023,0.0023,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0022
13:00,0.0024,0.0022,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0022
13:15,0.0023,0.0023,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0022
13:30,0.0022,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0021
13:45,0.0022,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
14:00,0.0022,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0022
14:15,0.0022,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0022
14:30,0.0021,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
14:45,0.0023,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0022
15:00,0.0022,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0022
15:15,0.0022,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0023
15:30,0.0023,0.0023,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0023
15:45,0.0022,0.0023,0.0028,0.0023,0.0026,0.002,0.003,,,,,0.0022
16:00,0.0022,0.0022,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0015
16:15,0.0023,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0029
16:30,0.0023,0.0023,0.0028,0.0023,0.0026,0.002,0.003,,,,,0.0023
16:45,0.0022,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0022
17:00,0.0015,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0023
17:15,0.0029,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
17:30,0.0023,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
17:45,0.0022,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0025
18:00,0.0023,0.002,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0023
18:15,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0024
18:30,0.0023,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0023
18:45,0.0025,0.002,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0023
19:00,0.0023,0.0027,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0024
19:15,0.0024,0.0026,0.0022,0.0023,0.0026,0.002,0.003,,,,,0.0023
19:30,0.0023,0.0018,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
19:45,0.0023,0.0027,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
20:00,0.0024,0.0022,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0022
20:15,0.0023,0.002,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0025
20:30,0.0024,0.0022,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
20:45,0.0023,0.0028,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
21:00,0.0022,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0024
21:15,0.0025,0.0022,0.0027,0.0023,0.0026,0.002,0.003,,,,,0.0023
21:30,0.0023,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0024
21:45,0.0024,0.0021,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0023
22:00,0.0024,0.0026,0.0028,0.0023,0.0026,0.002,0.003,,,,,0.0023
22:15,0.0023,0.0002,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0024
22:30,0.0024,0.0045,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
22:45,0.0023,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0024
23:00,0.0023,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,0.0023
23:15,0.0024,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,0.0027
23:30,0.0024,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,0.0025
23:45,0.0024,0.0024,0.0021,0.0023,0.0026,0.002,0.003,,,,,0.0027
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0029
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0019
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0018
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0002
,,,,,,,,,,,,0.0045
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0029
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0019
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0019
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0019
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0026
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0019
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0034
,,,,,,,,,,,,0.0018
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.002
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0022
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0021
,,,,,,,,,,,,0.0027
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0028
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0024
,,,,,,,,,,,,0.0025
,,,,,,,,,,,,0.0023
,,,,,,,,,,,,0.0021
