Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2,,,,,,
0:00,0,0,0,0.0023,0.0026,0.002,0.003,,,,,,0.0011
0:15,0.0001,-0.0001,0,0.0023,0.0026,0.002,0.003,,Dentro,%,,,0.0026
0:30,0.0004,0.0001,0,0.0023,0.0026,0.002,0.003,5%,264,0.9565217391,,,0.0027
0:45,0.0002,0.0008,0.0006,0.0023,0.0026,0.002,0.003,20%,269,0.9746376812,,,0.0026
1:00,0.0011,0,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0026
1:15,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
1:30,0.0027,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
1:45,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,teste 1,2,3,,0.0025
2:00,0.0026,0.0024,0,0.0023,0.0026,0.002,0.003,5%,89,89,86,264,0.0027
2:15,0.0026,0.0025,0.0025,0.0023,0.0026,0.002,0.003,20%,92,91,86,269,0.0026
2:30,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
2:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
3:00,0.0027,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0026
3:15,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
3:30,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
3:45,0.0026,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
4:00,0.0026,0.0027,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0027
4:15,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
4:30,0.0025,0.0025,0.0054,0.0023,0.0026,0.002,0.003,,,,,,0.0025
4:45,0.0025,0.0024,0.0004,0.0023,0.0026,0.002,0.003,,,,,,0.0025
5:00,0.0027,0.0023,0.0013,0.0023,0.0026,0.002,0.003,,,,,,0.0026
5:15,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
5:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
5:45,0.0025,0.0023,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0026
6:00,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
6:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
6:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
6:45,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
7:00,0.0026,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0026
7:15,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
7:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
7:45,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
8:00,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
8:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
8:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
8:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
9:00,0.0026,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0025
9:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
9:30,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
9:45,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
10:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0025
10:15,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
10:30,0.0026,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
10:45,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
11:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0025
11:15,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
11:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
11:45,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
12:00,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
12:15,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
12:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
12:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
13:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0026
13:15,0.0026,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
13:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
13:45,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
14:00,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
14:15,0.0025,0.0026,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
14:30,0.0025,0.0024,0.0014,0.0023,0.0026,0.002,0.003,,,,,,0.0024
14:45,0.0024,0.0024,0.0036,0.0023,0.0026,0.002,0.003,,,,,,0.0024
15:00,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
15:15,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0026
15:30,0.0024,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0025
15:45,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
16:00,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
16:15,0.0026,0.0026,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0025
16:30,0.0025,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0025
16:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:00,0.0025,0.0026,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0025
17:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
17:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
18:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
18:15,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
18:30,0.0024,0.0025,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0026
18:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
19:00,0.0025,0.0019,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
19:15,0.0024,0.003,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
19:30,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
19:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
20:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0025
20:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0023
20:30,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
20:45,0.0024,0.0024,0.0026,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:00,0.0025,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:15,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
21:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
21:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
22:00,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0023
22:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
22:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0025
22:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0023
23:00,0.0023,0.0024,0.0023,0.0023,0.0026,0.002,0.003,,,,,,0
23:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
23:30,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003,,,,,,0.0024
23:45,0.0023,0.0024,0.0025,0.0023,0.0026,0.002,0.003,,,,,,0.0024
,0.00008617674858,0.0001021266541,0.0001792060491,,,,,,,,,,0.0024
,0.002481521739,0.002410869565,0.002410869565,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0027
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0019
,,,,,,,,,,,,,0.003
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0054
,,,,,,,,,,,,,0.0004
,,,,,,,,,,,,,0.0013
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0014
,,,,,,,,,,,,,0.0036
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0026
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
,,,,,,,,,,,,,0.0023
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0024
,,,,,,,,,,,,,0.0025
