Tempo,Teste 1,Teste 2,Teste 3,-0.05,0.05,-0.2,0.2
1:00,0.0011,0,0.0026,0.0023,0.0026,0.002,0.003
1:15,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003
1:30,0.0027,0.0024,0.0025,0.0023,0.0026,0.002,0.003
1:45,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003
2:00,0.0026,0.0024,0,0.0023,0.0026,0.002,0.003
2:15,0.0026,0.0025,0.0025,0.0023,0.0026,0.002,0.003
2:30,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
2:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003
3:00,0.0027,0.0024,0.0023,0.0023,0.0026,0.002,0.003
3:15,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
3:30,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003
3:45,0.0026,0.0023,0.0025,0.0023,0.0026,0.002,0.003
4:00,0.0026,0.0027,0.0023,0.0023,0.0026,0.002,0.003
4:15,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003
4:30,0.0025,0.0025,0.0054,0.0023,0.0026,0.002,0.003
4:45,0.0025,0.0024,0.0004,0.0023,0.0026,0.002,0.003
5:00,0.0027,0.0023,0.0013,0.0023,0.0026,0.002,0.003
5:15,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003
5:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003
5:45,0.0025,0.0023,0.0023,0.0023,0.0026,0.002,0.003
6:00,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003
6:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003
6:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
6:45,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003
7:00,0.0026,0.0024,0.0023,0.0023,0.0026,0.002,0.003
7:15,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
7:30,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003
7:45,0.0025,0.0024,0.0025,0.0023,0.0026,0.002,0.003
8:00,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
8:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
8:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
8:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
9:00,0.0026,0.0024,0.0023,0.0023,0.0026,0.002,0.003
9:15,0.0026,0.0024,0.0024,0.0023,0.0026,0.002,0.003
9:30,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003
9:45,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
10:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003
10:15,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
10:30,0.0026,0.0026,0.0024,0.0023,0.0026,0.002,0.003
10:45,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003
11:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003
11:15,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
11:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
11:45,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
12:00,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
12:15,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003
12:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
12:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003
13:00,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003
13:15,0.0026,0.0026,0.0025,0.0023,0.0026,0.002,0.003
13:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
13:45,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
14:00,0.0026,0.0024,0.0025,0.0023,0.0026,0.002,0.003
14:15,0.0025,0.0026,0.0024,0.0023,0.0026,0.002,0.003
14:30,0.0025,0.0024,0.0014,0.0023,0.0026,0.002,0.003
14:45,0.0024,0.0024,0.0036,0.0023,0.0026,0.002,0.003
15:00,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
15:15,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
15:30,0.0024,0.0024,0.0026,0.0023,0.0026,0.002,0.003
15:45,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003
16:00,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
16:15,0.0026,0.0026,0.0023,0.0023,0.0026,0.002,0.003
16:30,0.0025,0.0024,0.0026,0.0023,0.0026,0.002,0.003
16:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
17:00,0.0025,0.0026,0.0026,0.0023,0.0026,0.002,0.003
17:15,0.0025,0.0025,0.0023,0.0023,0.0026,0.002,0.003
17:30,0.0025,0.0025,0.0025,0.0023,0.0026,0.002,0.003
17:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
18:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003
18:15,0.0024,0.0024,0.0024,0.0023,0.0026,0.002,0.003
18:30,0.0024,0.0025,0.0025,0.0023,0.0026,0.002,0.003
18:45,0.0025,0.0023,0.0024,0.0023,0.0026,0.002,0.003
19:00,0.0025,0.0019,0.0025,0.0023,0.0026,0.002,0.003
19:15,0.0024,0.003,0.0024,0.0023,0.0026,0.002,0.003
19:30,0.0026,0.0025,0.0024,0.0023,0.0026,0.002,0.003
19:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
20:00,0.0025,0.0023,0.0025,0.0023,0.0026,0.002,0.003
20:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
20:30,0.0024,0.0026,0.0025,0.0023,0.0026,0.002,0.003
20:45,0.0024,0.0024,0.0026,0.0023,0.0026,0.002,0.003
21:00,0.0025,0.0024,0.0023,0.0023,0.0026,0.002,0.003
21:15,0.0023,0.0024,0.0024,0.0023,0.0026,0.002,0.003
21:30,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
21:45,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
22:00,0.0024,0.0023,0.0025,0.0023,0.0026,0.002,0.003
22:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
22:30,0.0024,0.0025,0.0024,0.0023,0.0026,0.002,0.003
22:45,0.0024,0.0024,0.0025,0.0023,0.0026,0.002,0.003
23:00,0.0023,0.0024,0.0023,0.0023,0.0026,0.002,0.003
23:15,0.0025,0.0024,0.0024,0.0023,0.0026,0.002,0.003
23:30,0.0025,0.0025,0.0024,0.0023,0.0026,0.002,0.003
23:45,0.0023,0.0024,0.0025,0.0023,0.0026,0.002,0.003