x1,x2,x3,x4,x5
0.0019,0.0188,0.0154,0.0164,0.0159
0.0151,0.0169,0.0164,0.0178,0.0172
0.0177,0.0202,0.0202,0.0192,0.0176
0.0175,0.0165,0.0167,0.0166,0.02
0.0176,0.0242,0.0203,0.0194,0.0194
0.0176,0.018,0.0171,0.0179,0.017
0.0215,0.019,0.0199,0.0191,0.0199
0.0166,0.018,0.0174,0.0172,0.0176
0.0176,0.0191,0.0196,0.0196,0.0192
0.0195,0.0179,0.0166,0.0172,0.0172
0.0197,0.0189,0.0204,0.0192,0.0201
0.0176,0.0179,0.0172,0.0176,0.0169
0.0198,0.0191,0.0199,0.0191,0.0202
0.0168,0.018,0.0168,0.0171,0.0171
0.0204,0.019,0.0199,0.0197,0.0202
0.0168,0.018,0.0168,0.0175,0.0171
0.0176,0.0191,0.0201,0.0193,0.0202
0.0195,0.018,0.0162,0.0173,0.0168
0.0199,0.0189,0.0204,0.0244,0.0203
0.0165,0.0178,0.0172,0.0173,0.0171
0.02,0.019,0.0199,0.0202,0.0199
0.0161,0.0179,0.0162,0.0166,0.0167
0.0204,0.0186,0.0207,0.0205,0.0204
0.0172,0.018,0.0172,0.0164,0.0173